URL,File,TimePeriod,Ext,ClimModel,ClimScenario,Var,OutName,Long_name,unit,explanation
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_fcf_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_fcf_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,fcf,fcf_2041-2070_MRI-ESM2-0_ssp585,Frost change frequency,count,"Number of events in which tmin or tmax go above, or below 0 deg C"
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_fgd_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_fgd_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,fgd,fgd_2041-2070_MRI-ESM2-0_ssp585,first day of the growing season TREELIM,julian day,first day of the growing season according to TREELIM
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gdd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gdd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gdd0,gdd0_2041-2070_MRI-ESM2-0_ssp585,Growing degree days heat sum above 0 deg C,deg C,heat sum of all days above the 0 deg C temperature accumulated over 1 year.
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gdd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gdd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gdd10,gdd10_2041-2070_MRI-ESM2-0_ssp585,Growing degree days heat sum above 10 deg C,deg C,heat sum of all days above the 10 deg C temperature accumulated over 1 year.
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gdd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gdd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gdd5,gdd5_2041-2070_MRI-ESM2-0_ssp585,Growing degree days heat sum above 5 deg C,deg C,heat sum of all days above the 5 deg C temperature accumulated over 1 year.
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gddlgd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gddlgd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gddlgd0,gddlgd0_2041-2070_MRI-ESM2-0_ssp585,Last growing degree day above 0 deg C,julian day,Last day of the year above 0 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gddlgd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gddlgd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gddlgd10,gddlgd10_2041-2070_MRI-ESM2-0_ssp585,Last growing degree day above 10 deg C,julian day,Last day of the year above 10 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gddlgd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gddlgd5_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gddlgd5,gddlgd5_2041-2070_MRI-ESM2-0_ssp585,Last growing degree day above 5 deg C,julian day,Last day of the year above 5 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gdgfgd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gdgfgd0_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gdgfgd0,gdgfgd0_2041-2070_MRI-ESM2-0_ssp585,First growing degree day above 0 deg C,julian day,First day of the year above 0 deg C
https://os.zhdk.cloud.switch.ch/envicloud/chelsa/chelsa_V2/GLOBAL/climatologies/2041-2070/MRI-ESM2-0/ssp585/bio/CHELSA_gdgfgd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,CHELSA_gdgfgd10_2041-2070_mri-esm2-0_ssp585_V.2.1.tif,2041-2070,tif,MRI-ESM2-0,ssp585,gdgfgd10,gdgfgd10_2041-2070_MRI-ESM2-0_ssp585,First growing degree day above 10 deg C,julian day,First day of the year above 10 deg C
